data,time,value.rxInfo.0.rssi,,
5/23/2023,20:02:37,-96,,
5/23/2023,20:12:36,-87,,
5/23/2023,20:22:36,-101,,
5/23/2023,20:32:36,-97,,
5/23/2023,20:42:36,-107,,
5/23/2023,20:52:36,-102,,
5/23/2023,21:22:36,-97,,
5/23/2023,21:32:36,-100,,
5/23/2023,21:42:36,-95,,
5/23/2023,21:52:36,-105,,
5/23/2023,22:02:36,-103,,
5/23/2023,22:12:36,-102,,   
5/23/2023,22:22:36,-85,,
5/23/2023,22:42:37,-99,,
5/23/2023,22:52:37,-82,,
5/23/2023,23:02:37,-105,,
5/23/2023,23:12:37,-106,,
5/23/2023,23:22:37,-101,,
5/23/2023,23:52:37,-105,,
5/24/2023,0:02:37,-103,,
5/24/2023,0:12:37,-100,,
5/24/2023,0:22:37,-106,,
5/24/2023,0:32:38,-107,,
5/24/2023,0:42:37,-101,,
5/24/2023,0:52:38,-107,,
5/24/2023,1:12:38,-102,,
5/24/2023,1:22:38,-100,,
5/24/2023,1:32:38,-89,,
5/24/2023,1:42:38,-104,,
5/24/2023,1:52:38,-103,,
5/24/2023,2:02:38,-101,,
5/24/2023,2:12:38,-103,,
5/24/2023,2:42:38,-103,,
5/24/2023,2:52:38,-96,,
5/24/2023,3:02:39,-103,,
5/24/2023,3:12:39,-105,,
5/24/2023,3:22:39,-105,,
5/24/2023,3:32:39,-102,,
5/24/2023,3:52:39,-103,,
5/24/2023,4:02:39,-98,,
5/24/2023,4:12:39,-83,,
5/24/2023,4:22:39,-102,,
5/24/2023,4:32:39,-104,,
5/24/2023,4:42:39,-102,,
5/24/2023,4:52:39,-102,,
5/24/2023,5:22:40,-102,,
5/24/2023,5:42:40,-102,,
5/24/2023,5:52:40,-103,,
5/24/2023,6:02:40,-100,,
5/24/2023,6:12:40,-105,,
5/24/2023,6:42:40,-92,,
5/24/2023,6:52:40,-93,,
5/24/2023,7:02:40,-99,,
5/24/2023,7:12:41,-102,,
5/24/2023,7:22:40,-102,,
5/24/2023,7:32:41,-107,,
5/24/2023,8:02:41,-94,,
5/24/2023,8:22:41,-90,,
5/24/2023,8:32:41,-104,,
5/24/2023,8:42:41,-101,,
5/24/2023,8:52:42,-103,,
5/24/2023,9:02:41,-87,,
5/24/2023,9:22:41,-97,,
5/24/2023,9:32:41,-90,,
5/24/2023,9:42:42,-103,,
5/24/2023,9:52:42,-105,,
5/24/2023,10:02:42,-101,,
5/24/2023,10:12:42,-106,,
5/24/2023,10:32:42,-105,,
5/24/2023,10:42:42,-104,,
5/24/2023,10:52:42,-87,,
5/24/2023,11:02:42,-101,,
5/24/2023,11:12:42,-108,,
5/24/2023,11:22:42,-103,,
5/24/2023,11:32:42,-107,,
5/24/2023,11:52:42,-103,,
5/24/2023,12:02:43,-105,,
5/24/2023,12:12:43,-100,,
5/24/2023,12:22:43,-103,,
5/24/2023,12:32:43,-107,,
5/24/2023,12:42:43,-106,,
5/24/2023,12:52:43,-107,,
5/24/2023,13:22:44,-93,,
5/24/2023,13:42:43,-106,,
5/24/2023,13:52:43,-108,,
5/24/2023,14:02:44,-105,,
5/24/2023,14:12:44,-104,,
5/24/2023,14:42:44,-97,,
5/24/2023,14:52:44,-102,,
5/24/2023,15:02:44,-105,,
5/24/2023,15:12:44,-108,,
5/24/2023,15:22:44,-104,,
5/24/2023,15:32:44,-106,,
5/24/2023,15:52:45,-104,,
5/24/2023,16:02:44,-105,,
5/24/2023,16:22:45,-105,,
5/24/2023,16:32:45,-105,,
5/24/2023,16:42:45,-105,,
5/24/2023,16:52:45,-107,,
5/24/2023,17:22:45,-97,,
5/24/2023,17:32:45,-100,,
5/24/2023,18:02:50,-103,,
5/24/2023,18:12:50,-103,,
5/24/2023,18:32:50,-103,,
5/24/2023,18:42:50,-101,,
5/24/2023,18:52:50,-103,,
5/24/2023,19:02:46,-104,,
5/24/2023,19:12:46,-105,,
5/24/2023,19:22:46,-104,,
5/24/2023,19:32:46,-103,,
5/24/2023,19:52:47,-102,,
5/24/2023,20:02:47,-101,,
5/24/2023,20:12:47,-87,,
5/24/2023,20:22:47,-104,,
5/24/2023,20:32:47,-105,,
5/24/2023,20:42:47,-101,,
5/24/2023,20:52:47,-102,,
5/24/2023,21:22:49,-101,,
5/24/2023,21:32:48,-99,,
5/24/2023,21:42:48,-105,,
5/24/2023,21:52:48,-107,,
5/24/2023,22:02:48,-100,,
5/24/2023,22:12:48,-103,,
5/24/2023,22:22:48,-87,,
5/24/2023,22:42:48,-99,,
5/24/2023,22:52:50,-82,,
5/24/2023,23:02:48,-103,,
5/24/2023,23:12:49,-106,,
5/24/2023,23:22:49,-101,,
5/24/2023,23:32:49,-105,,
5/24/2023,23:42:49,-88,,
5/24/2023,23:52:50,-102,,
5/25/2023,0:02:49,-101,,
5/25/2023,0:12:49,-83,,
5/25/2023,0:32:49,-106,,
5/25/2023,0:42:51,-101,,
5/25/2023,0:52:50,-103,,
5/25/2023,1:02:50,-96,,
5/25/2023,1:22:50,-101,,
5/25/2023,1:32:50,-102,,
5/25/2023,1:42:50,-105,,
5/25/2023,1:52:50,-106,,
5/25/2023,2:02:50,-103,,
5/25/2023,2:12:50,-104,,
5/25/2023,2:32:50,-105,,
5/25/2023,2:42:51,-101,,
5/25/2023,2:52:51,-95,,
5/25/2023,3:02:51,-103,,
5/25/2023,3:12:51,-107,,
5/25/2023,3:22:51,-99,,
5/25/2023,3:32:51,-107,,
5/25/2023,3:52:51,-102,,
5/25/2023,4:02:51,-101,,
5/25/2023,4:22:53,-103,,
5/25/2023,4:32:52,-108,,
5/25/2023,4:42:52,-101,,
5/25/2023,4:52:52,-103,,
5/25/2023,5:02:52,-95,,
5/25/2023,5:22:52,-105,,
5/25/2023,5:32:52,-89,,
5/25/2023,5:42:53,-103,,
5/25/2023,5:52:53,-103,,
5/25/2023,6:02:53,-102,,
5/25/2023,6:12:53,-102,,
5/25/2023,6:42:53,-103,,
5/25/2023,6:52:53,-82,,
5/25/2023,7:02:53,-103,,
5/25/2023,7:12:54,-103,,
5/25/2023,7:22:54,-104,,
5/25/2023,7:32:54,-103,,
5/25/2023,7:52:54,-102,,
5/25/2023,8:22:54,-103,,
5/25/2023,8:42:54,-103,,
5/25/2023,8:52:55,-106,,
5/25/2023,9:22:55,-98,,
5/25/2023,9:32:55,-88,,
5/25/2023,9:42:55,-85,,
5/25/2023,9:52:55,-107,,
5/25/2023,10:02:55,-103,,
5/25/2023,10:12:55,-103,,
5/25/2023,10:42:55,-101,,
5/25/2023,10:52:56,-97,,
5/25/2023,11:02:56,-100,,
5/25/2023,11:12:56,-107,,
5/25/2023,11:22:56,-114,,
5/25/2023,11:32:57,-113,,
5/25/2023,11:52:56,-115,,
5/25/2023,12:22:57,-114,,
5/25/2023,12:32:57,-100,,
5/25/2023,12:42:57,-112,,
5/25/2023,12:52:57,-109,,
5/25/2023,13:12:57,-117,,
5/25/2023,13:22:57,-113,,
5/25/2023,13:52:58,-106,,
5/25/2023,14:02:58,-107,,
5/25/2023,14:12:58,-107,,
5/25/2023,14:42:58,-117,,
5/25/2023,15:22:58,-108,,
5/25/2023,15:32:59,-114,,
5/25/2023,16:22:59,-117,,
5/25/2023,16:42:59,-119,,
5/25/2023,16:52:59,-111,,
5/25/2023,18:03:00,-112,,
5/25/2023,19:03:01,-105,,
5/25/2023,19:13:01,-117,,
5/25/2023,19:23:01,-111,,
5/25/2023,19:33:01,-109,,
5/25/2023,20:03:02,-111,,
